Shipment_ID,Date,Country,Port_of_Loading,Commodity,Quantity_Tons,Export_Value_USD,Shipping_Cost_USD,Transport_Mode,Delivery_Days,Trade_Term_INCOTERM,Container_Type,Carrier
SHP1791,2015-02-07,China,Chennai,Electronics,175.60496074659562,165409.70934385748,5506.577876967426,Sea,28.0,DAP,Open Top,FedEx
SHP1792,2014-12-10,UAE,Chennai,Food Products,155.49767311832784,,1264.7827255944298,Road,8.0,FOB,FCL,DHL
SHP1793,2020-11-03,UK,Nhava Sheva,Automobiles,86.49195934010484,35830.31947852003,18502.56651792728,Road,5.0,CIF,FCL,MSC
SHP1794,2008-08-25,USA,Chennai,Machinery,150.93923715898237,,13302.069313376023,Air,8.0,DDP,Reefer,DHL
SHP1795,2020-02-24,Japan,Kolkata,Machinery,192.4602530829872,65498.45843818192,17755.12847032455,Sea,30.0,DAP,FCL,MSC
SHP1796,2017-12-10,South Africa,Mumbai,Automobiles,94.49909502274302,132439.65130082075,14402.355493117298,Air,,CIF,Open Top,FedEx
SHP1797,2011-08-10,USA,Mumbai,Textiles,51.49329989592931,125380.3183090316,,Road,15.0,DDP,FCL,MSC
SHP1798,2008-06-07,South Africa,Mumbai,Machinery,188.6542175097804,99928.77604594312,18823.5144273589,Road,15.0,DAP,FCL,Maersk
SHP1799,2006-05-24,China,Chennai,Food Products,122.730136269835,43830.21899713605,18017.882461928788,Sea,15.0,DDP,LCL,FedEx
SHP1800,2024-03-29,Australia,Chennai,Chemicals,25.526706683682928,,7091.906342440507,Road,3.0,EXW,FCL,FedEx
SHP1801,2022-10-23,Brazil,Cochin,Automobiles,116.67314909205444,109631.60575610356,2408.360138963195,Sea,42.0,FOB,FCL,MSC
SHP1802,2011-01-16,Germany,Cochin,Textiles,,94661.1024885805,14142.264065619702,Air,39.0,DAP,Reefer,CMA CGM
SHP1803,2022-08-20,USA,Mumbai,Textiles,171.83983434473487,27203.92155282552,,Air,33.0,DAP,Reefer,MSC
SHP1804,2023-06-12,Japan,Kolkata,Pharma,108.48556200388668,130603.07771338092,17957.215087846,Sea,19.0,EXW,LCL,MSC
SHP1805,2012-10-02,UAE,Cochin,Textiles,54.77032469713527,16464.251808510788,1242.5840371313825,Air,11.0,DAP,Open Top,Hapag-Lloyd
SHP1806,2013-11-21,Japan,Cochin,Machinery,,,3005.735992941962,Sea,15.0,DAP,LCL,Hapag-Lloyd
SHP1807,2016-09-25,China,Chennai,Chemicals,110.80221324443814,142585.81083969536,12045.32609900781,Air,39.0,DAP,FCL,Maersk
SHP1808,2014-12-21,South Africa,Kolkata,Machinery,50.443702512040126,5964.65983490189,12458.804707227637,Air,16.0,DAP,FCL,Maersk
SHP1809,2017-03-29,UAE,Mumbai,Automobiles,116.85743229886702,114856.5981709726,865.4713138371244,Road,13.0,DAP,Open Top,CMA CGM
SHP1810,2008-09-25,Germany,Cochin,Chemicals,165.1994376884888,68235.15288037286,8059.254611020837,Road,27.0,CIF,Open Top,Hapag-Lloyd
SHP1811,2016-05-28,Germany,Kolkata,Automobiles,10.571328956182036,3748.704997701424,11766.402279265772,Sea,33.0,DAP,Reefer,DHL
SHP1812,2016-01-25,USA,Kolkata,Textiles,128.01595253579677,,14810.64439640433,Air,16.0,EXW,FCL,Maersk
SHP1813,2024-12-01,China,Mumbai,Food Products,73.16911317795645,188307.3462675896,6459.783697210905,Air,9.0,DAP,FCL,Maersk
SHP1814,2015-10-28,Australia,Kolkata,Electronics,62.07093192308771,105187.4832900079,9781.28916183246,Air,26.0,DDP,FCL,Hapag-Lloyd
SHP1815,2012-06-14,China,Kolkata,Chemicals,81.5546113204167,199450.98651656808,16318.286471777785,Road,38.0,DDP,FCL,Hapag-Lloyd
SHP1816,2013-03-06,South Africa,Kolkata,Pharma,71.69441952835642,105913.71657221876,19087.12226517526,Sea,44.0,EXW,FCL,CMA CGM
SHP1817,2018-12-27,Japan,Cochin,Electronics,167.2866258081461,109699.40963347311,4760.230572718941,Sea,44.0,CIF,FCL,Hapag-Lloyd
SHP1818,2013-01-30,Germany,Mumbai,Textiles,58.58557309974061,79584.91656070478,5210.235675233946,Sea,43.0,EXW,FCL,MSC
SHP1819,2022-07-08,Japan,Kolkata,Textiles,147.96483950578414,63388.00290882003,18808.40011119073,Air,5.0,CIF,FCL,FedEx
SHP1820,2013-08-10,Japan,Kolkata,Electronics,23.3416649445748,51806.01952032307,8039.040785101135,Sea,28.0,FOB,Reefer,DHL
SHP1821,2013-07-21,Japan,Cochin,Pharma,190.52229263446105,69997.28199387343,14423.296825510706,Road,28.0,DDP,LCL,FedEx
SHP1822,2022-01-31,Germany,Mumbai,Chemicals,126.3517442634676,,12322.851528851548,Road,3.0,DDP,FCL,MSC
SHP1823,2007-08-29,UK,Chennai,Chemicals,142.81012252368922,40014.406145696434,5854.636059922314,Sea,17.0,DDP,Reefer,MSC
SHP1824,2007-01-25,South Africa,Cochin,Electronics,,46525.26817752778,13140.531994768891,Air,,CIF,FCL,FedEx
SHP1825,2010-08-08,South Africa,Mumbai,Automobiles,85.35883089808235,55765.86419635095,13180.204838948071,Road,39.0,EXW,Open Top,MSC
SHP1826,2023-12-14,UAE,Kolkata,Machinery,,90953.45860230616,11930.37507109971,Road,9.0,CIF,FCL,Maersk
SHP1827,2018-04-12,China,Mumbai,Food Products,186.8445367314337,,2173.284332020355,Air,14.0,DDP,LCL,FedEx
SHP1828,2006-02-18,China,Mumbai,Automobiles,100.18036718476864,171516.93775668487,19904.402083005945,Air,40.0,DDP,Reefer,MSC
SHP1829,2022-01-05,Brazil,Mumbai,Chemicals,127.93738255330804,58852.10376305437,8128.245931182382,Sea,5.0,DDP,Open Top,Maersk
SHP1830,2006-04-01,China,Chennai,Machinery,148.1830459534895,38378.2113876046,12837.36951086038,Road,44.0,DDP,Open Top,Hapag-Lloyd
SHP1831,2008-09-07,Germany,Mumbai,Food Products,77.3656877644101,,17738.08154342986,Road,28.0,FOB,FCL,DHL
SHP1832,2022-12-30,Australia,Chennai,Food Products,145.41982263513253,179087.84912162746,,Sea,32.0,DDP,LCL,DHL
SHP1833,2007-06-24,USA,Kolkata,Food Products,136.81853550248633,3952.424210753615,15523.716124749864,Sea,,CIF,LCL,MSC
SHP1834,2007-07-03,Brazil,Chennai,Textiles,142.60357010541958,136217.98597943358,19442.12360865224,Road,38.0,DDP,FCL,DHL
SHP1835,2009-07-16,USA,Kolkata,Food Products,100.39983053989953,,7306.908253010356,Road,39.0,DAP,FCL,Maersk
SHP1836,2010-12-28,South Africa,Kolkata,Pharma,79.67278954686533,33887.15056221465,8224.337490608186,Air,20.0,FOB,Reefer,Hapag-Lloyd
SHP1837,2022-06-29,USA,Chennai,Electronics,48.306026700753016,,18130.40596813206,Air,3.0,DDP,Reefer,MSC
SHP1838,2014-06-14,USA,Cochin,Chemicals,165.80213879617412,46540.10868765271,3360.928782740624,Road,23.0,DAP,FCL,CMA CGM
SHP1839,2006-07-06,Brazil,Nhava Sheva,Pharma,123.62825907367734,175810.76924224422,766.177799516958,Road,30.0,CIF,FCL,FedEx
SHP1840,2006-09-08,UAE,Mumbai,Electronics,91.64867823901152,97410.93002110808,18196.00229601241,Air,18.0,FOB,Open Top,DHL
SHP1841,2015-01-15,Japan,Nhava Sheva,Automobiles,189.0792018085692,113492.66701875356,16467.51316752809,Sea,30.0,DDP,LCL,DHL
SHP1842,2019-06-02,China,Mumbai,Automobiles,14.328568438872567,119550.14862873008,19457.14404451637,Sea,24.0,CIF,Reefer,MSC
SHP1843,2011-12-23,China,Mumbai,Electronics,170.78352931498426,,1353.1080976714295,Road,,DAP,FCL,FedEx
SHP1844,2021-08-14,Germany,Kolkata,Pharma,199.52860562446463,100120.02669443411,3292.3111427315475,Road,3.0,FOB,FCL,FedEx
SHP1845,2008-01-08,Brazil,Mumbai,Electronics,177.95371162215912,,2285.188669978216,Air,33.0,DDP,Reefer,DHL
SHP1846,2019-02-15,Germany,Mumbai,Food Products,163.03513419504694,68275.09200910108,13731.639419415444,Road,44.0,CIF,Open Top,DHL
SHP1847,2024-11-14,Australia,Chennai,Textiles,77.9896687142333,38406.90166275626,12198.999460193436,Sea,36.0,FOB,Open Top,CMA CGM
SHP1848,2007-12-27,Australia,Nhava Sheva,Chemicals,50.10626554114723,1100697.0897727553,7314.836947867741,Air,42.0,DAP,FCL,FedEx
SHP1849,2022-08-27,Germany,Chennai,Automobiles,148.2958514974222,13227.520971269238,1336.9848921644514,Air,8.0,DDP,LCL,Maersk
SHP1850,2015-07-24,Brazil,Mumbai,Chemicals,64.39219642627083,113633.07144010556,,Sea,30.0,FOB,LCL,MSC
SHP1851,2021-03-17,Germany,Kolkata,Textiles,39.32773802021928,43705.08101031159,11488.38560527812,Sea,5.0,DAP,FCL,MSC
SHP1852,2015-03-06,China,Chennai,Food Products,,189871.4760164781,2435.483579000192,Air,33.0,DAP,Reefer,CMA CGM
SHP1853,2017-05-15,UK,Chennai,Food Products,65.94601218616083,68437.10655293403,18196.41214857954,Road,,CIF,LCL,CMA CGM
SHP1854,2018-09-25,USA,Cochin,Automobiles,183.31613725003095,66393.79589217759,4139.204251505413,Sea,19.0,DAP,Reefer,Maersk
SHP1855,2013-04-17,UK,Mumbai,Automobiles,168.92336573972943,184830.1642621633,14921.481212448356,Air,29.0,DAP,Reefer,Hapag-Lloyd
SHP1856,2018-10-13,Brazil,Kolkata,Food Products,170.28986425430475,84634.88822021999,,Road,,EXW,Reefer,MSC
SHP1857,2006-09-07,UK,Chennai,Machinery,155.4560965808861,192646.74216877692,11673.604815735427,Road,22.0,DAP,Open Top,FedEx
SHP1858,2020-05-11,Australia,Chennai,Chemicals,176.77187763607364,6785.729722433692,5087.608324905376,Air,34.0,DDP,LCL,DHL
SHP1859,2022-05-17,South Africa,Kolkata,Textiles,162.1206439747334,62656.225890024965,6323.1206489778,Sea,,FOB,Open Top,Maersk
SHP1860,2014-03-15,USA,Mumbai,Chemicals,122.48971589707207,133906.20613275337,17737.80116763288,Road,15.0,DDP,LCL,MSC
SHP1861,2007-12-15,Japan,Cochin,Textiles,62.68543012346331,178389.67897647244,6105.491696254396,Sea,22.0,DDP,FCL,FedEx
SHP1862,2006-11-06,Brazil,Chennai,Machinery,178.20079267675905,52768.30741564021,,Air,4.0,CIF,Reefer,Maersk
SHP1863,2008-11-13,USA,Cochin,Pharma,,186234.5632088063,19805.271202657023,Sea,6.0,EXW,LCL,Hapag-Lloyd
SHP1864,2019-04-28,UK,Nhava Sheva,Textiles,97.21146783105628,119636.05036683926,19996.37104338102,Road,29.0,EXW,LCL,FedEx
SHP1865,2019-03-12,Australia,Mumbai,Chemicals,,160599.63215318735,10762.899015732764,Air,27.0,DDP,FCL,MSC
SHP1866,2007-04-07,UAE,Nhava Sheva,Electronics,129.51602684337314,80647.04625276565,16565.804776364737,Road,6.0,FOB,Open Top,DHL
SHP1867,2009-03-29,Japan,Nhava Sheva,Food Products,14.866386466933438,,19806.94738483975,Road,34.0,EXW,LCL,FedEx
SHP1868,2009-04-02,USA,Nhava Sheva,Food Products,185.6245925604394,182424.61225864323,7618.523218871248,Air,19.0,EXW,LCL,MSC
SHP1869,2022-12-06,Australia,Mumbai,Machinery,192.51809504193488,186760.9019444313,5197.7097843920565,Air,3.0,DDP,Open Top,Maersk
SHP1870,2012-06-12,Australia,Mumbai,Textiles,41.950578450422825,,2461.820445675228,Sea,35.0,EXW,Open Top,Hapag-Lloyd
SHP1871,2013-12-03,UK,Kolkata,Pharma,136.89592872070745,3286.013167852788,2989.812833847897,Air,32.0,CIF,LCL,FedEx
SHP1872,2012-04-30,China,Cochin,Textiles,22.99245588973874,23737.02482674009,17100.415999689136,Sea,,DDP,Open Top,Maersk
SHP1873,2012-08-11,UK,Cochin,Food Products,147.2558010717588,115459.53612588091,11856.717188080063,Air,,EXW,FCL,Maersk
SHP1874,2022-03-23,China,Kolkata,Automobiles,72.72109489977154,6707.787055773471,17499.44167277122,Road,,EXW,FCL,CMA CGM
SHP1875,2018-06-21,China,Kolkata,Electronics,137.80477178743683,80588.56094936567,15831.210762836936,Sea,34.0,EXW,Reefer,Maersk
SHP1876,2024-01-31,Japan,Nhava Sheva,Machinery,77.71091929442468,62067.24922325849,13540.143674950752,Air,40.0,DDP,LCL,FedEx
SHP1877,2011-06-28,UK,Kolkata,Automobiles,33.38566441748097,143440.95852963653,12264.381399755845,Sea,19.0,FOB,FCL,Hapag-Lloyd
SHP1878,2009-08-30,UAE,Chennai,Chemicals,84.19144619799879,13004.577243691188,1157.1103027262402,Sea,42.0,DAP,FCL,DHL
SHP1879,2010-09-02,Germany,Cochin,Pharma,26.97133769378405,98768.79125750292,17471.048880863207,Sea,34.0,EXW,FCL,CMA CGM
SHP1880,2018-06-15,Germany,Kolkata,Automobiles,117.49223862050444,116664.62543536986,8473.272821258342,Road,26.0,DAP,Reefer,Maersk
SHP1881,2019-02-22,UK,Chennai,Chemicals,12.985548769148556,124223.6330584183,11283.779770013562,Air,14.0,DAP,Open Top,FedEx
SHP1882,2023-10-30,UK,Chennai,Automobiles,107.82733752197264,82221.21905935429,634.6793371650103,Air,33.0,EXW,Reefer,MSC
SHP1883,2009-03-25,Japan,Chennai,Pharma,177.84188618363046,62264.82111905109,18734.255336883183,Sea,21.0,EXW,Reefer,CMA CGM
SHP1884,2016-09-07,UK,Chennai,Automobiles,168.38528767327574,137133.62067995546,18074.261129621627,Air,31.0,DAP,Reefer,Hapag-Lloyd
SHP1885,2019-02-11,China,Nhava Sheva,Machinery,177.14243142716688,169818.671524294,10956.904992378491,Road,23.0,FOB,Reefer,MSC
SHP1886,2020-12-30,Australia,Chennai,Food Products,184.79951641478596,139336.29228100998,11630.770336733478,Sea,28.0,DAP,LCL,Hapag-Lloyd
SHP1887,2007-08-23,Australia,Nhava Sheva,Textiles,,186556.26836052988,14159.340805589076,Road,30.0,FOB,LCL,MSC
SHP1888,2023-01-16,China,Nhava Sheva,Automobiles,30.10570456076405,144018.1780208696,5440.958949435772,Road,19.0,CIF,FCL,DHL
SHP1889,2018-03-16,Brazil,Chennai,Machinery,113.61632723106008,153394.50933469643,4593.929329723391,Air,11.0,FOB,Reefer,Hapag-Lloyd
SHP1890,2022-03-21,China,Cochin,Textiles,179.3246703427637,35244.8329272136,13545.654342712329,Air,23.0,DDP,Reefer,MSC
SHP1891,2008-10-27,UAE,Chennai,Chemicals,194.998144022186,85068.84961628894,2267.564433946381,Sea,36.0,EXW,FCL,Hapag-Lloyd
SHP1892,2022-11-08,South Africa,Chennai,Textiles,14.021073881299992,98040.95552928111,9190.42769352294,Road,,CIF,Open Top,CMA CGM
SHP1893,2016-05-31,USA,Chennai,Chemicals,74.37594641912872,52746.04613433231,,Air,22.0,DAP,LCL,Hapag-Lloyd
SHP1894,2023-04-07,China,Cochin,Automobiles,,106650.892350545,7750.472142920326,Sea,41.0,FOB,Reefer,FedEx
SHP1895,2013-12-18,UK,Mumbai,Machinery,152.4133405415934,59576.80495592581,3868.309878815147,Sea,18.0,CIF,Open Top,Hapag-Lloyd
SHP1896,2022-02-25,UK,Mumbai,Food Products,129.83780436472125,138125.41437527435,7235.262033642022,Air,31.0,DDP,Open Top,MSC
SHP1897,2022-07-23,Japan,Nhava Sheva,Automobiles,28.37816613934985,95117.11838722882,6883.633620496909,Road,3.0,FOB,Reefer,Hapag-Lloyd
SHP1898,2016-01-26,China,Nhava Sheva,Chemicals,99.28680313616944,92843.77694526906,10085.460358045257,Sea,20.0,DAP,Reefer,DHL
SHP1899,2017-07-28,Japan,Cochin,Pharma,138.66090186240183,196761.22114449675,13558.680663254683,Air,24.0,DAP,Open Top,Maersk
SHP1900,2022-11-19,China,Kolkata,Textiles,156.90605181518734,79704.08001142894,19371.055445818176,Sea,10.0,FOB,LCL,CMA CGM
SHP1901,2006-04-29,USA,Mumbai,Automobiles,8.910278407881663,,3054.432551451699,Air,9.0,DDP,LCL,FedEx
SHP1902,2016-06-20,South Africa,Nhava Sheva,Chemicals,178.6415669268585,65083.66551396557,17485.73877683342,Sea,27.0,EXW,Reefer,MSC
SHP1903,2016-05-13,Australia,Mumbai,Textiles,116.00986967535226,179160.34575320804,5826.724407727196,Road,32.0,EXW,Reefer,Hapag-Lloyd
SHP1904,2019-05-02,Germany,Cochin,Chemicals,163.32227741718145,100351.31756743928,11909.180846027832,Sea,36.0,DAP,FCL,Hapag-Lloyd
SHP1905,2008-07-05,China,Cochin,Machinery,162.54791585278528,120802.86654116584,,Air,43.0,DDP,FCL,Hapag-Lloyd
SHP1906,2015-05-29,South Africa,Kolkata,Electronics,42.021268752838985,37802.05884247421,11227.578688839609,Air,13.0,DAP,LCL,CMA CGM
SHP1907,2014-12-06,Australia,Kolkata,Automobiles,26.48356344945845,109106.58728097552,14522.500512032497,Air,17.0,EXW,FCL,FedEx
SHP1908,2021-02-23,Brazil,Cochin,Food Products,145.6510174498962,56380.34218796068,7757.428453830119,Road,,DAP,Open Top,Maersk
SHP1909,2023-07-11,USA,Nhava Sheva,Automobiles,,146666.11041004973,6518.179272089742,Air,25.0,FOB,Open Top,DHL
SHP1910,2015-08-04,Japan,Mumbai,Textiles,170.73781082392114,166840.61306089166,17086.12454907245,Air,,FOB,Open Top,FedEx
SHP1911,2024-03-21,Japan,Chennai,Machinery,146.6069493531105,143532.51704199295,4557.881797430552,Road,30.0,DDP,Open Top,DHL
SHP1912,2024-12-01,UK,Kolkata,Chemicals,169.1559460512262,146588.34492151096,3768.871538760633,Air,15.0,EXW,Reefer,FedEx
SHP1913,2022-05-26,Australia,Chennai,Pharma,63.30747252382248,103469.99141566436,509.02724577416535,Air,36.0,DDP,Open Top,MSC
SHP1914,2024-08-13,Brazil,Nhava Sheva,Food Products,66.73662178006097,142999.37515415877,4369.440084177898,Road,40.0,DDP,LCL,Maersk
SHP1915,2024-05-18,South Africa,Kolkata,Machinery,135.88820348753194,85692.01323061573,10466.922379670828,Sea,8.0,EXW,FCL,Maersk
SHP1916,2019-04-12,USA,Chennai,Automobiles,11.13196123649477,130994.85239886338,10862.475685679448,Air,6.0,CIF,LCL,CMA CGM
SHP1917,2012-02-02,Australia,Nhava Sheva,Pharma,146.66686553579743,53289.7636038619,5237.52572567158,Sea,7.0,CIF,Reefer,FedEx
SHP1918,2014-05-01,Brazil,Mumbai,Machinery,167.97769881664723,15811.888437778009,1631.028566815757,Road,42.0,DAP,FCL,Hapag-Lloyd
SHP1919,2020-04-23,Germany,Nhava Sheva,Electronics,85.95689938780028,83867.70629614976,14943.887767635082,Air,8.0,CIF,FCL,Maersk
SHP1920,2011-09-19,China,Kolkata,Food Products,154.15137186725138,93432.074844537,15207.911901533536,Air,23.0,FOB,FCL,FedEx
SHP1921,2014-05-05,Japan,Cochin,Textiles,39.04912881154108,52768.617321360616,19957.16064657292,Road,30.0,DDP,Open Top,Hapag-Lloyd
SHP1922,2023-01-20,South Africa,Mumbai,Machinery,67.84077679479951,146086.48464463305,18020.58549658741,Air,5.0,DAP,Reefer,CMA CGM
SHP1923,2020-04-10,Japan,Chennai,Machinery,194.9894678065431,16562.994837303282,18536.02887744932,Sea,25.0,DDP,LCL,FedEx
SHP1924,2016-10-17,South Africa,Kolkata,Electronics,197.3339938442246,46104.16822707934,16004.43574973005,Sea,10.0,EXW,Open Top,FedEx
SHP1925,2022-10-19,UK,Cochin,Automobiles,104.95798533920966,150215.8142538181,12386.956496973482,Road,21.0,CIF,FCL,MSC
SHP1926,2009-11-11,South Africa,Nhava Sheva,Chemicals,187.182609335456,88550.60620052245,2745.2099605693074,Air,13.0,EXW,LCL,FedEx
SHP1927,2021-01-19,Japan,Cochin,Chemicals,106.93248222108664,141646.15755978387,12521.80328962638,Air,,DAP,LCL,MSC
SHP1928,2013-04-04,South Africa,Kolkata,Food Products,61.85968499142568,114362.20380115206,1307.9260362096074,Road,30.0,FOB,LCL,Hapag-Lloyd
SHP1929,2009-04-03,Germany,Kolkata,Food Products,57.04536117926051,,17728.922403169607,Sea,22.0,CIF,Reefer,Hapag-Lloyd
SHP1930,2015-07-07,UK,Cochin,Textiles,186.253612546789,120363.57487912092,9740.06244120111,Sea,30.0,EXW,Open Top,Maersk
SHP1931,2008-02-03,South Africa,Nhava Sheva,Machinery,38.62704584990253,4944.056920412901,,Road,31.0,CIF,Reefer,CMA CGM
SHP1932,2013-10-17,Australia,Cochin,Pharma,118.02832934935456,71869.71539985813,1234.424541180087,Air,10.0,DDP,FCL,MSC
SHP1933,2015-02-09,UAE,Kolkata,Machinery,113.32738827223032,30326.015076532123,10778.118773871942,Sea,198.0,FOB,FCL,Maersk
SHP1934,2019-11-17,Brazil,Kolkata,Chemicals,149.226228507334,,,Air,23.0,CIF,LCL,DHL
SHP1935,2017-07-10,UAE,Chennai,Textiles,102.35236696733108,22594.465948445904,5842.371661597464,Sea,20.0,FOB,LCL,Maersk
SHP1936,2019-07-26,UAE,Chennai,Machinery,,78765.91929995532,7915.187111123014,Air,11.0,DDP,LCL,Hapag-Lloyd
SHP1937,2023-01-29,USA,Mumbai,Electronics,,46767.64033808505,212.66132503859103,Sea,6.0,DDP,Reefer,DHL
SHP1938,2021-03-16,Germany,Kolkata,Chemicals,126.0596666836489,169650.9540985532,9439.885458059436,Air,43.0,EXW,Open Top,Maersk
SHP1939,2024-07-30,Australia,Chennai,Machinery,145.20319758638047,63096.16652260556,,Road,27.0,DAP,Reefer,FedEx
SHP1940,2024-11-30,China,Cochin,Machinery,116.05664934299637,198394.9096622437,,Sea,,EXW,FCL,CMA CGM
SHP1941,2008-12-09,South Africa,Nhava Sheva,Chemicals,148.97849903863298,9646.087911225675,9080.807036073153,Road,11.0,FOB,LCL,MSC
SHP1942,2018-12-18,Brazil,Cochin,Pharma,32.59663447774223,27398.80094758804,7398.414618579923,Sea,11.0,EXW,LCL,FedEx
SHP1943,2009-03-01,UK,Nhava Sheva,Chemicals,177.08168801391142,46478.477732963605,19895.99161697677,Sea,20.0,CIF,Reefer,DHL
SHP1944,2023-07-20,Australia,Chennai,Electronics,118.5671241396581,162598.99595963155,11510.023827129427,Sea,13.0,EXW,FCL,CMA CGM
SHP1945,2015-11-28,Japan,Mumbai,Electronics,29.734565744056447,175946.40739467513,9557.741530955962,Air,15.0,DAP,Open Top,Maersk
SHP1946,2021-08-09,China,Cochin,Machinery,95.07541482011833,16147.373360665626,10019.529524057913,Sea,,DAP,LCL,FedEx
SHP1947,2010-09-10,USA,Cochin,Food Products,169.73438888385274,8427.108068930727,16221.78969067434,Road,11.0,FOB,LCL,Hapag-Lloyd
SHP1948,2012-03-24,USA,Cochin,Pharma,180.02462772336622,149422.2577067067,6945.392105609185,Air,,DDP,FCL,Hapag-Lloyd
SHP1949,2012-09-01,Australia,Nhava Sheva,Machinery,56.606653474758495,28403.697337215468,7905.377161181723,Air,6.0,DAP,LCL,CMA CGM
SHP1950,2022-12-13,UAE,Chennai,Chemicals,143.69683581853835,,15166.292514881814,Sea,36.0,FOB,Open Top,Hapag-Lloyd
SHP1951,2019-03-05,Japan,Cochin,Machinery,24.49712325933645,6428.573829896995,1645.0780443526355,Air,9.0,DAP,Reefer,MSC
SHP1952,2012-10-22,USA,Cochin,Textiles,11.541444925370772,,,Sea,17.0,DAP,FCL,CMA CGM
SHP1953,2020-06-13,Brazil,Mumbai,Textiles,,54207.740801906846,8718.013390065804,Road,40.0,DDP,LCL,CMA CGM
SHP1954,2009-11-10,USA,Mumbai,Food Products,140.49137796898455,14871.086903339648,11709.60091501184,Air,13.0,CIF,LCL,Hapag-Lloyd
SHP1955,2021-07-14,UK,Chennai,Pharma,,75038.06014853656,15198.027953344736,Air,34.0,FOB,Open Top,CMA CGM
SHP1956,2023-12-21,South Africa,Chennai,Automobiles,71.34216649879026,166889.4561830151,,Road,,DAP,Reefer,Maersk
SHP1957,2015-11-20,USA,Kolkata,Textiles,6.272455033632963,66611.41094967534,17828.22132474889,Road,32.0,DAP,Open Top,DHL
SHP1958,2011-09-23,UK,Mumbai,Automobiles,98.506251236714,146111.1641907156,19588.654450680893,Sea,19.0,EXW,Reefer,FedEx
SHP1959,2020-04-06,Australia,Kolkata,Electronics,8.09144134784556,,9986.632355841266,Air,38.0,CIF,Open Top,DHL
SHP1960,2011-01-30,Australia,Nhava Sheva,Textiles,22.93697958080599,132556.28710905957,18751.35982764693,Road,21.0,DDP,Reefer,FedEx
SHP1961,2020-03-27,China,Kolkata,Textiles,68.70435939369094,64715.94228497213,222.3467260342586,Air,9.0,FOB,LCL,Hapag-Lloyd
SHP1962,2009-05-07,USA,Cochin,Pharma,90.24854966423456,150451.06998201355,17905.90902678346,Road,23.0,DAP,LCL,MSC
SHP1963,2006-09-14,Brazil,Kolkata,Food Products,59.49654103978147,28977.89878316361,6358.69733107585,Air,30.0,FOB,LCL,MSC
SHP1964,2022-12-17,USA,Chennai,Automobiles,118.46372696841804,179780.90879736742,6367.609409606518,Road,5.0,DDP,FCL,Hapag-Lloyd
SHP1965,2022-09-10,Brazil,Nhava Sheva,Chemicals,15.793208897528562,50030.28617379145,4716.1595224448,Air,16.0,CIF,Reefer,Hapag-Lloyd
SHP1966,2007-10-07,Germany,Cochin,Textiles,33.19304349671902,71921.28306967294,6476.875242787857,Sea,4.0,EXW,FCL,CMA CGM
SHP1967,2016-03-11,China,Kolkata,Textiles,,190135.78074197224,4426.994757232975,Air,31.0,CIF,Reefer,MSC
SHP1968,2021-08-23,Germany,Nhava Sheva,Pharma,32.71746645159396,116539.50722671006,18136.20830493744,Sea,20.0,EXW,LCL,DHL
SHP1969,2014-07-27,USA,Nhava Sheva,Pharma,129.7561643062324,74422.76075467835,18000.669798824656,Sea,39.0,FOB,FCL,Hapag-Lloyd
SHP1970,2007-07-22,China,Cochin,Food Products,15.663501046906283,190021.22511265907,2223.784035428326,Sea,26.0,CIF,FCL,DHL
SHP1971,2010-05-31,Germany,Kolkata,Automobiles,84.43954442823238,67157.32854422633,3028.596891556551,Air,14.0,CIF,Open Top,FedEx
SHP1972,2018-04-09,UAE,Nhava Sheva,Electronics,,20784.401109685597,17267.969052411197,Air,34.0,CIF,Reefer,DHL
SHP1973,2021-05-21,USA,Nhava Sheva,Chemicals,26.379075094361355,199376.07979616517,,Sea,20.0,DDP,Open Top,MSC
SHP1974,2009-09-07,Germany,Mumbai,Food Products,115.57139278273937,55033.29427066494,,Road,15.0,FOB,FCL,FedEx
SHP1975,2016-04-21,UAE,Nhava Sheva,Electronics,186.02547554109623,,10311.254168244031,Air,6.0,EXW,FCL,DHL
SHP1976,2010-04-21,UAE,Mumbai,Machinery,15.68347434509202,34777.077374971275,8450.02738841788,Air,25.0,CIF,LCL,CMA CGM
SHP1977,2018-07-20,Australia,Kolkata,Textiles,87.20307840251667,146808.08641192084,4539.398764011711,Air,12.0,FOB,Open Top,CMA CGM
SHP1978,2013-08-09,USA,Kolkata,Automobiles,142.9694103603615,,,Air,7.0,DDP,Open Top,MSC
SHP1979,2019-10-09,UAE,Kolkata,Food Products,95.22412717912628,196219.49854144568,12699.528384188072,Sea,42.0,DDP,Open Top,CMA CGM
SHP1980,2014-05-17,Australia,Chennai,Textiles,162.26670949052283,111460.4105062951,2173.2999483977237,Road,,FOB,Reefer,Hapag-Lloyd
SHP1981,2010-07-12,Germany,Kolkata,Automobiles,40.03083659350568,6953.000074389117,18522.65694364178,Road,36.0,EXW,FCL,FedEx
SHP1982,2024-10-13,UK,Nhava Sheva,Automobiles,192.1208699804094,121567.8419455694,11257.705321455369,Road,30.0,FOB,Open Top,MSC
SHP1983,2015-10-23,USA,Cochin,Automobiles,80.1067124156454,30772.65835465196,5154.048843858128,Road,10.0,FOB,LCL,FedEx
SHP1984,2022-07-27,China,Mumbai,Textiles,71.60607842413364,160111.10122585326,4284.577938432797,Sea,18.0,DAP,FCL,DHL
